"Date","Production"
1983-01-07,8634
1983-02-04,8660
1983-03-04,8677
1983-04-01,8677
1983-06-03,8676
1983-07-01,8676
1983-08-05,8653
1983-09-02,8666
1983-10-07,8654
1983-11-04,8624
1983-12-02,8612
1984-01-06,8659
1984-02-03,8726
1984-03-02,8718
1984-04-06,8688
1984-05-04,8753
1984-06-01,8743
1984-07-06,8769
1984-08-03,8781
1984-09-07,8759
1984-10-05,8847
1984-11-02,8846
1984-12-07,8797
1985-01-04,8929
1985-02-01,8928
1985-03-01,8927
1985-04-05,8842
1985-05-03,8969
1985-06-07,8965
1985-07-05,8904
1985-08-02,8895
1985-09-06,8874
1985-10-04,8943
1985-11-01,8932
1985-12-06,8930
1986-01-03,8942
1986-02-07,8940
1986-03-07,8939
1986-04-04,8815
1986-05-02,8805
1986-06-06,8792
1986-07-04,8737
1986-08-01,8737
1986-09-05,8671
1986-10-03,8773
1986-11-07,8321
1986-12-05,8348
1987-01-02,8353
1987-02-06,8383
1987-03-06,8336
1987-04-03,8361
1987-05-01,8361
1987-06-05,8303
1987-07-03,8287
1987-08-07,8204
1987-09-04,8162
1987-10-02,8281
1987-11-06,8283
1987-12-04,8348
1988-01-01,8348
1988-02-05,8353
1988-03-04,8306
1988-04-01,8306
1988-05-06,8240
1988-06-03,8210
1988-07-01,8210
1988-08-05,8128
1988-09-02,8147
1988-10-07,8085
1988-11-04,8026
1988-12-02,8035
1989-01-06,8021
1989-02-03,7965
1989-03-03,7921
1989-04-07,7880
1989-05-05,7843
1989-06-02,7726
1989-07-07,7622
1989-08-04,7662
1989-09-01,7662
1989-10-06,7644
1989-11-03,7601
1989-12-01,7601
1990-01-05,7512
1990-02-02,7399
1990-03-02,7411
1990-04-06,7310
1990-05-04,7241
1990-06-01,7241
1990-07-06,7130
1990-08-03,6971
1990-09-07,6991
1990-10-05,7261
1990-11-02,7342
1990-12-07,6996
1991-01-04,7481
1991-02-01,7477
1991-03-01,7404
1991-04-05,7356
1991-05-03,7295
1991-06-07,7301
1991-07-05,7383
1991-08-02,7342
1991-09-06,7150
1991-10-04,7381
1991-11-01,7359
1991-12-06,7376
1992-01-03,7422
1992-02-07,7382
1992-03-06,7357
1992-04-03,7327
1992-05-01,7235
1992-06-05,7240
1992-07-03,7221
1992-08-07,7124
1992-09-04,6847
1992-10-02,7046
1992-11-06,7011
1992-12-04,7074
1993-01-01,6995
1993-02-05,7031
1993-03-05,7018
1993-04-02,6971
1993-05-07,6902
1993-06-04,6789
1993-07-02,6742
1993-08-06,6753
1993-09-03,6734
1993-10-01,6684
1993-11-05,6872
1993-12-03,6943
1994-01-07,6875
1994-02-04,6836
1994-03-04,6763
1994-04-01,6683
1994-05-06,6706
1994-06-03,6695
1994-07-01,6604
1994-08-05,6582
1994-09-02,6552
1994-10-07,6692
1994-11-04,6620
1994-12-02,6472
1995-01-06,6651
1995-02-03,6662
1995-03-03,6660
1995-04-07,6554
1995-05-05,6604
1995-06-02,6592
1995-07-07,6518
1995-08-04,6444
1995-09-01,6507
1995-10-06,6215
1995-11-03,6539
1995-12-01,6450
1996-01-05,6464
1996-02-02,6413
1996-03-01,6496
1996-04-05,6441
1996-05-03,6454
1996-06-07,6421
1996-07-05,6499
1996-08-02,6297
1996-09-06,6497
1996-10-04,6485
1996-11-01,6513
1996-12-06,6534
1997-01-03,6454
1997-02-07,6483
1997-03-07,6440
1997-04-04,6493
1997-05-02,6409
1997-06-06,6435
1997-07-04,6338
1997-08-01,6360
1997-09-05,6362
1997-10-03,6375
1997-11-07,6418
1997-12-05,6448
1998-01-02,6459
1998-02-06,6412
1998-03-06,6440
1998-04-03,6443
1998-05-01,6422
1998-06-05,6333
1998-07-03,6311
1998-08-07,6336
1998-09-04,6349
1998-10-02,5950
1998-11-06,6398
1998-12-04,6390
1999-01-01,6342
1999-02-05,6369
1999-03-05,5920
1999-04-02,5879
1999-05-07,5835
1999-06-04,5864
1999-07-02,5662
1999-08-06,5925
1999-09-03,6014
1999-10-01,6032
1999-11-05,6134
1999-12-03,6087
2000-01-07,6000
2000-02-04,6011
2000-03-03,5974
2000-04-07,5820
2000-05-05,5798
2000-06-02,5704
2000-07-07,5766
2000-08-04,5778
2000-09-01,5783
2000-10-06,5867
2000-11-03,5903
2000-12-01,5925
2001-01-05,5944
2001-02-02,5929
2001-03-02,5876
2001-04-06,5867
2001-05-04,5831
2001-06-01,5823
2001-07-06,5756
2001-08-03,5745
2001-09-07,5829
2001-10-05,5736
2001-11-02,5859
2001-12-07,5856
2002-01-04,5922
2002-02-01,5916
2002-03-01,5966
2002-04-05,5916
2002-05-03,5879
2002-06-07,5897
2002-07-05,5898
2002-08-02,5604
2002-09-06,5773
2002-10-04,4803
2002-11-01,5711
2002-12-06,5763
2003-01-03,5752
2003-02-07,5899
2003-03-07,5872
2003-04-04,5866
2003-05-02,5829
2003-06-06,5803
2003-07-04,5815
2003-08-01,5738
2003-09-05,5727
2003-10-03,5678
2003-11-07,5596
2003-12-05,5597
2004-01-02,5664
2004-02-06,5703
2004-03-05,5675
2004-04-02,5661
2004-05-07,5626
2004-06-04,5452
2004-07-02,5404
2004-08-06,5414
2004-09-03,5360
2004-10-01,4656
2004-11-05,5319
2004-12-03,5396
2005-01-07,5430
2005-02-04,5421
2005-03-04,5489
2005-04-01,5504
2005-05-06,5510
2005-06-03,5515
2005-07-01,5498
2005-08-05,5417
2005-09-02,4360
2005-10-07,3901
2005-11-04,4306
2005-12-02,5021
2006-01-06,5023
2006-02-03,4903
2006-03-03,5054
2006-04-07,5053
2006-05-05,5128
2006-06-02,5097
2006-07-07,5275
2006-08-04,5144
2006-09-01,5101
2006-10-06,5253
2006-11-03,5329
2006-12-01,5368
2007-01-05,5370
2007-02-02,5283
2007-03-02,5267
2007-04-06,5179
2007-05-04,5131
2007-06-01,5180
2007-07-06,5198
2007-08-03,5142
2007-09-07,5129
2007-10-05,5059
2007-11-02,5126
2007-12-07,5117
2008-01-04,5051
2008-02-01,5013
2008-03-07,5100
2008-04-04,5097
2008-05-02,5099
2008-06-06,5114
2008-07-04,4960
2008-08-01,5172
2008-09-05,4084
2008-10-03,4422
2008-11-07,4885
2008-12-05,5152
2009-01-02,4935
2009-02-06,5327
2009-03-06,5401
2009-04-03,5469
2009-05-01,5280
2009-06-05,5358
2009-07-03,5171
2009-08-07,5172
2009-09-04,5266
2009-10-02,5360
2009-11-06,5506
2009-12-04,5538
2010-01-01,5507
2010-02-05,5475
2010-03-05,5527
2010-04-02,5473
2010-05-07,5533
2010-06-04,5445
2010-07-02,5414
2010-08-06,5239
2010-09-03,5603
2010-10-01,5514
2010-11-05,5596
2010-12-03,5582
2011-01-07,5575
2011-02-04,5597
2011-03-04,5593
2011-04-01,5638
2011-05-06,5609
2011-06-03,5633
2011-07-01,5520
