Weekly U.S. Field Production of Crude Oil (Thousand Barrels per Day),,,,,,,,,,
Year-Month,Week 1,,Week 2,,Week 3,,Week 4,,Week 5,
,End Date,Value,End Date,Value,End Date,Value,End Date,Value,End Date,Value
  1983-Jan,01/07 ,"8,634   ",01/14 ,"8,634   ",01/21 ,"8,634   ",01/28 ,"8,634   ",,   
  1983-Feb,02/04 ,"8,660   ",02/11 ,"8,660   ",02/18 ,"8,660   ",02/25 ,"8,660   ",,   
  1983-Mar,03/04 ,"8,677   ",03/11 ,"8,677   ",03/18 ,"8,677   ",03/25 ,"8,677   ",,   
  1983-Apr,04/01 ,"8,677   ",04/08 ,"8,686   ",04/15 ,"8,686   ",,   ,04/29 ,"8,686   "
  1983-May,,   ,05/13 ,"8,682   ",05/20 ,"8,682   ",,   ,,   
  1983-Jun,06/03 ,"8,676   ",06/10 ,"8,676   ",06/17 ,"8,676   ",06/24 ,"8,676   ",,   
  1983-Jul,07/01 ,"8,676   ",07/08 ,"8,647   ",07/15 ,"8,647   ",07/22 ,"8,647   ",07/29 ,"8,647   "
  1983-Aug,08/05 ,"8,653   ",08/12 ,"8,653   ",08/19 ,"8,653   ",08/26 ,"8,653   ",,   
  1983-Sep,09/02 ,"8,666   ",09/09 ,"8,666   ",09/16 ,"8,666   ",09/23 ,"8,666   ",09/30 ,"8,666   "
  1983-Oct,10/07 ,"8,654   ",10/14 ,"8,654   ",10/21 ,"8,654   ",10/28 ,"8,654   ",,   
  1983-Nov,11/04 ,"8,624   ",11/11 ,"8,624   ",11/18 ,"8,624   ",11/25 ,"8,624   ",,   
  1983-Dec,12/02 ,"8,612   ",12/09 ,"8,612   ",12/16 ,"8,612   ",12/23 ,"8,612   ",12/30 ,"8,612   "
  1984-Jan,01/06 ,"8,659   ",01/13 ,"8,659   ",01/20 ,"8,659   ",01/27 ,"8,659   ",,   
  1984-Feb,02/03 ,"8,726   ",02/10 ,"8,726   ",02/17 ,"8,726   ",02/24 ,"8,726   ",,   
  1984-Mar,03/02 ,"8,718   ",03/09 ,"8,718   ",03/16 ,"8,718   ",03/23 ,"8,718   ",03/30 ,"8,718   "
  1984-Apr,04/06 ,"8,688   ",04/13 ,"8,688   ",04/20 ,"8,688   ",04/27 ,"8,688   ",,   
  1984-May,05/04 ,"8,753   ",05/11 ,"8,753   ",05/18 ,"8,753   ",05/25 ,"8,753   ",,   
  1984-Jun,06/01 ,"8,743   ",06/08 ,"8,743   ",06/15 ,"8,743   ",06/22 ,"8,743   ",06/29 ,"8,743   "
  1984-Jul,07/06 ,"8,769   ",07/13 ,"8,769   ",07/20 ,"8,769   ",07/27 ,"8,769   ",,   
  1984-Aug,08/03 ,"8,781   ",08/10 ,"8,781   ",08/17 ,"8,781   ",08/24 ,"8,781   ",08/31 ,"8,781   "
  1984-Sep,09/07 ,"8,759   ",09/14 ,"8,759   ",09/21 ,"8,759   ",09/28 ,"8,759   ",,   
  1984-Oct,10/05 ,"8,847   ",10/12 ,"8,847   ",10/19 ,"8,847   ",10/26 ,"8,847   ",,   
  1984-Nov,11/02 ,"8,846   ",11/09 ,"8,846   ",11/16 ,"8,846   ",11/23 ,"8,846   ",11/30 ,"8,846   "
  1984-Dec,12/07 ,"8,797   ",12/14 ,"8,797   ",12/21 ,"8,797   ",12/28 ,"8,797   ",,   
  1985-Jan,01/04 ,"8,929   ",01/11 ,"8,929   ",01/18 ,"8,929   ",01/25 ,"8,929   ",,   
  1985-Feb,02/01 ,"8,928   ",02/08 ,"8,928   ",02/15 ,"8,928   ",02/22 ,"8,928   ",,   
  1985-Mar,03/01 ,"8,927   ",03/08 ,"8,927   ",03/15 ,"8,927   ",03/22 ,"8,927   ",03/29 ,"8,927   "
  1985-Apr,04/05 ,"8,842   ",04/12 ,"8,842   ",04/19 ,"8,842   ",04/26 ,"8,842   ",,   
  1985-May,05/03 ,"8,969   ",05/10 ,"8,969   ",05/17 ,"8,969   ",05/24 ,"8,969   ",05/31 ,"8,969   "
  1985-Jun,06/07 ,"8,965   ",06/14 ,"8,965   ",06/21 ,"8,965   ",06/28 ,"8,965   ",,   
  1985-Jul,07/05 ,"8,904   ",07/12 ,"8,904   ",07/19 ,"8,904   ",07/26 ,"8,904   ",,   
